StatementID,BankAccountNumber,TransactionDate,ValueDate,Currency,Amount,DebitCreditIndicator,Description,BankReference,ReferenceNumber,MatchType
STM00000023,FR7614508059144921279050070,2026-01-11,2026-01-13,CHF,386598.26,C,SEPA credit transfer,BNK647509014,REF13781531,perfect
STM00000024,FR7614508059144921279050070,2026-03-09,2026-03-10,USD,490029.40,C,Customer advance payment,BNK845986196,REF91714598,perfect
STM00000025,AU123456789012345,2026-01-27,2026-01-28,JPY,350304.22,D,FX contract payment,BNK129421461,REF29403222,perfect
STM00000026,GB29NWBK60161331926819,2026-01-19,2026-01-21,AUD,244973.51,D,SEPA direct debit,BNK240382085,REF96036877,perfect
STM00000027,DE89370400440532013000,2026-03-09,2026-03-09,AUD,198026.51,D,FX contract payment,BNK298568455,REF23953417,perfect
STM00000028,FR7614508059144921279050070,2026-03-25,2026-03-26,CAD,279696.08,D,Tax remittance,BNK177479489,REF39312691,perfect
STM00000029,US123456789012345678,2026-03-20,2026-03-20,EUR,406890.16,C,Grant proceeds,BNK207906268,REF85475911,perfect
STM00000030,FR7614508059144921279050070,2026-03-29,2026-04-01,CHF,265583.07,D,Wire transfer outbound,BNK104424074,REF85847916,perfect
STM00000031,US123456789012345678,2026-02-01,2026-02-03,USD,473481.20,D,Commission expense,BNK628013189,REF63543241,perfect
STM00000032,FR7614508059144921279050070,2026-03-08,2026-03-08,AUD,63989.34,C,Loan drawdown,BNK689463148,REF18091547,perfect
STM00000033,GB29NWBK60161331926819,2026-02-01,2026-02-04,AUD,57179.14,D,Bond redemption,BNK492789966,REF59101506,perfect
STM00000034,FR7614508059144921279050070,2026-03-11,2026-03-13,AUD,309831.14,D,Interest expense,BNK780400761,REF18042227,perfect
STM00000035,AU123456789012345,2026-02-06,2026-02-09,EUR,218862.28,D,SEPA direct debit,BNK624011891,REF71745575,perfect
STM00000036,GB29NWBK60161331926819,2026-01-13,2026-01-13,CHF,222728.39,C,Trade settlement receipt,BNK755663277,REF29505028,perfect
STM00000037,US123456789012345678,2026-03-29,2026-04-01,EUR,199821.89,D,Rent payment,BNK544669567,REF13328013,perfect
STM00000038,GB29NWBK60161331926819,2026-02-25,2026-02-26,CHF,31436.47,C,Interest credit,BNK872196409,REF96031990,perfect
STM00000039,GB29NWBK60161331926819,2026-02-18,2026-02-19,CAD,483908.18,D,Invoice payment to vendor,BNK667468472,REF23659672,perfect
STM00000040,AU123456789012345,2026-01-26,2026-01-27,CAD,402088.34,D,Intercompany transfer out,BNK321676071,REF49723714,perfect
STM00000041,DE89370400440532013000,2026-02-01,2026-02-01,USD,446360.58,D,Intercompany transfer out,BNK887964630,REF24814814,perfect
STM00000042,GB29NWBK60161331926819,2026-02-23,2026-02-25,GBP,423151.91,D,Intercompany transfer out,BNK105664465,REF57960080,perfect
STM00000043,AU123456789012345,2026-03-30,2026-04-01,USD,461701.63,C,Customer advance payment,BNK557474955,REF87958455,perfect
STM00000044,DE89370400440532013000,2026-01-20,2026-01-21,CHF,137698.20,C,Refund received,BNK161439100,REF71783570,perfect
STM00000045,AU123456789012345,2026-01-20,2026-01-22,CAD,213823.06,D,ACH debit settlement,BNK543924457,REF42652361,perfect
STM00000046,DE89370400440532013000,2026-03-22,2026-03-24,CAD,153261.94,D,Insurance premium payment,BNK580977886,REF45034681,perfect
STM00000047,DE89370400440532013000,2026-02-25,2026-02-27,USD,461513.61,D,Cheque payment,BNK769345207,REF51923888,perfect
STM00000048,FR7614508059144921279050070,2026-02-13,2026-02-17,CAD,422750.11,D,Supplier payment,BNK277758092,REF78402203,perfect
STM00000049,DE89370400440532013000,2026-03-07,2026-03-11,USD,371986.68,C,Sales proceeds,BNK117433555,REF77428986,perfect
STM00000050,US123456789012345678,2026-03-03,2026-03-03,EUR,488181.03,D,Wire transfer outbound,BNK503320935,REF52378723,perfect
STM00000051,AU123456789012345,2026-03-10,2026-03-10,GBP,333212.54,D,ACH debit settlement,BNK400448881,REF22390412,perfect
STM00000052,FR7614508059144921279050070,2026-01-10,2026-01-14,JPY,132998.29,C,Loan drawdown,BNK480920529,REF33571094,perfect
STM00000053,FR7614508059144921279050070,2026-02-08,2026-02-09,EUR,109690.09,C,FX contract settlement,BNK230245213,REF24953066,perfect
STM00000054,DE89370400440532013000,2026-02-05,2026-02-10,JPY,429158.60,C,Loan drawdown,BNK856161918,REF51764602,perfect
STM00000055,AU123456789012345,2026-03-20,2026-03-23,EUR,383790.71,D,Wire transfer outbound,BNK240456548,REF21635206,perfect
STM00000056,GB29NWBK60161331926819,2026-03-05,2026-03-09,JPY,145288.03,D,Interest expense,BNK139868927,REF54082912,perfect
STM00000057,US123456789012345678,2026-03-05,2026-03-05,CHF,460031.30,C,Bond coupon payment,BNK660165570,REF67682772,perfect
STM00000058,FR7614508059144921279050070,2026-01-17,2026-01-20,USD,497230.68,D,Trade settlement payment,BNK325660286,REF51896736,perfect
STM00000059,AU123456789012345,2026-03-04,2026-03-09,EUR,484774.60,D,Commission expense,BNK586524984,REF91171926,perfect
STM00000060,FR7614508059144921279050070,2026-01-23,2026-01-23,CAD,122606.91,C,Invoice payment INV-9900,BNK578855453,REF32611460,perfect
STM00000061,GB29NWBK60161331926819,2026-01-27,2026-01-30,CAD,27191.05,D,Cheque payment,BNK880321928,REF40546519,perfect
STM00000062,GB29NWBK60161331926819,2026-02-08,2026-02-08,GBP,28598.04,D,Equipment purchase,BNK225133399,REF88727846,perfect
STM00000063,US123456789012345678,2026-03-07,2026-03-10,EUR,324982.02,D,FX contract payment,BNK410489129,REF57363150,perfect
STM00000064,DE89370400440532013000,2026-01-07,2026-01-12,CAD,33202.69,C,ACH credit settlement,BNK105909640,REF64464289,perfect
STM00000065,GB29NWBK60161331926819,2026-03-14,2026-03-17,EUR,2494.35,C,Customer advance payment,BNK994646523,REF26058663,perfect
STM00000066,AU123456789012345,2026-03-23,2026-03-23,JPY,392834.05,C,Wire transfer inbound,BNK100937544,REF42480939,perfect
STM00000067,US123456789012345678,2026-02-11,2026-02-16,AUD,433680.78,C,Customer advance payment,BNK262846738,REF10713997,perfect
STM00000068,US123456789012345678,2026-03-13,2026-03-16,USD,334846.15,C,SEPA credit transfer,BNK584593751,REF13462910,perfect
STM00000069,DE89370400440532013000,2026-03-18,2026-03-19,JPY,461635.00,D,ACH debit settlement,BNK362742282,REF64649430,perfect
STM00000070,DE89370400440532013000,2026-03-19,2026-03-20,CAD,234125.44,D,Utility payment,BNK276313687,REF83593288,perfect
STM00000071,DE89370400440532013000,2026-03-24,2026-03-24,JPY,461184.09,C,Customer advance payment,BNK992978789,REF30532879,perfect
STM00000072,US123456789012345678,2026-02-23,2026-02-26,JPY,32117.11,D,Wire transfer outbound,BNK978157534,REF26132435,perfect
STM00000073,DE89370400440532013000,2026-02-27,2026-03-02,USD,253113.36,D,Tax remittance,BNK937475757,REF48903328,perfect
STM00000074,DE89370400440532013000,2026-01-06,2026-01-08,AUD,453865.03,D,Intercompany transfer out,BNK998844147,REF11402266,perfect
STM00000075,DE89370400440532013000,2026-01-01,2026-01-06,AUD,192822.04,C,Loan drawdown,BNK733101214,REF84906783,perfect
STM00000076,US123456789012345678,2026-03-13,2026-03-17,AUD,381424.41,D,Payroll disbursement,BNK606100283,REF67257037,perfect
STM00000077,FR7614508059144921279050070,2026-01-18,2026-01-18,EUR,385328.04,C,Interest credit,BNK651957836,REF51462729,perfect
STM00000078,AU123456789012345,2026-03-03,2026-03-03,JPY,172888.15,C,Wire transfer inbound,BNK622415664,REF56450242,perfect
STM00000079,GB29NWBK60161331926819,2026-01-23,2026-01-28,CHF,262445.35,D,ACH debit settlement,BNK512578281,REF21952178,perfect
STM00000080,GB29NWBK60161331926819,2026-03-06,2026-03-09,EUR,27151.84,D,Commission expense,BNK896211569,REF52538512,perfect
STM00000081,GB29NWBK60161331926819,2026-01-25,2026-01-28,EUR,164462.25,D,Intercompany transfer out,BNK759227041,REF95171559,perfect
STM00000082,DE89370400440532013000,2026-03-09,2026-03-11,AUD,186543.14,D,Commission expense,BNK846116986,REF81992184,perfect
STM00000083,AU123456789012345,2026-03-19,2026-03-20,EUR,346808.71,C,Wire transfer inbound,BNK295035975,REF78082737,perfect
STM00000084,DE89370400440532013000,2026-03-01,2026-03-02,JPY,377010.83,D,Utility payment,BNK533685218,REF11968904,perfect
STM00000085,US123456789012345678,2026-02-24,2026-02-25,CHF,114623.14,C,Trade settlement receipt,BNK584616638,REF29527126,perfect
STM00000086,FR7614508059144921279050070,2026-01-01,2026-01-01,CAD,475300.25,C,Sales proceeds,BNK605141423,REF38285666,perfect
STM00000087,AU123456789012345,2026-01-30,2026-01-30,JPY,347408.67,C,Refund received,BNK964617521,REF52272760,perfect
STM00000088,AU123456789012345,2026-02-07,2026-02-07,AUD,273442.17,D,Service fee payment,BNK172140174,REF87015674,perfect
STM00000089,AU123456789012345,2026-02-15,2026-02-16,GBP,154819.77,C,FX contract settlement,BNK851653981,REF77872933,perfect
STM00000090,US123456789012345678,2026-02-01,2026-02-01,GBP,394170.75,C,Interest credit,BNK990537472,REF91191590,perfect
STM00000091,US123456789012345678,2026-02-16,2026-02-17,AUD,465125.15,D,Equipment purchase,BNK519058273,REF89495886,perfect
STM00000092,FR7614508059144921279050070,2026-03-12,2026-03-17,JPY,84292.67,D,Interest expense,BNK963002012,REF71974501,perfect
STM00000093,GB29NWBK60161331926819,2026-01-27,2026-01-30,CAD,490638.21,C,Intercompany transfer in,BNK784959438,REF53740816,perfect
STM00000094,GB29NWBK60161331926819,2026-03-27,2026-03-31,GBP,312832.98,D,Interest expense,BNK687815704,REF79776142,perfect
STM00000095,GB29NWBK60161331926819,2026-03-28,2026-04-01,CHF,261473.26,D,Bond redemption,BNK118802989,REF59280695,perfect
STM00000096,FR7614508059144921279050070,2026-01-24,2026-01-27,JPY,72405.30,D,Bond redemption,BNK480252419,REF48895619,perfect
STM00000097,DE89370400440532013000,2026-01-07,2026-01-07,EUR,463353.20,C,Commission income,BNK610403600,REF65097058,perfect
STM00000098,DE89370400440532013000,2026-01-14,2026-01-15,JPY,246951.10,C,FX contract settlement,BNK623632476,REF72522473,perfect
STM00000099,FR7614508059144921279050070,2026-02-20,2026-02-20,JPY,149870.56,C,Intercompany transfer in,BNK836787117,REF17077020,perfect
STM00000100,DE89370400440532013000,2026-02-19,2026-02-19,EUR,431660.90,C,Customer payment received,BNK131781839,REF47180982,perfect
STM00000101,FR7614508059144921279050070,2026-03-07,2026-03-11,JPY,150872.76,C,Deposit received,BNK275884379,REF52024102,perfect
STM00000102,GB29NWBK60161331926819,2026-02-26,2026-02-26,CAD,346205.98,C,Customer payment received,BNK956324833,REF11015539,perfect
STM00000103,DE89370400440532013000,2026-01-03,2026-01-03,CAD,193213.29,D,Utility payment,BNK532835580,REF33286085,perfect
STM00000104,GB29NWBK60161331926819,2026-02-09,2026-02-11,JPY,101113.08,D,FX contract payment,BNK157656245,REF26152974,perfect
STM00000105,GB29NWBK60161331926819,2026-03-05,2026-03-09,CAD,221589.30,D,SEPA direct debit,BNK309518592,REF95323307,perfect
STM00000106,DE89370400440532013000,2026-02-04,2026-02-09,JPY,5313.55,D,Tax remittance,BNK529674080,REF58461803,perfect
STM00000107,US123456789012345678,2026-03-13,2026-03-16,USD,421401.23,D,Service fee payment,BNK805037782,REF45104054,perfect
STM00000108,AU123456789012345,2026-01-27,2026-01-30,AUD,140228.94,D,Loan repayment,BNK703361198,REF70229417,perfect
STM00000109,GB29NWBK60161331926819,2026-01-01,2026-01-06,AUD,477832.43,C,Equity sale proceeds,BNK378949493,REF52986757,perfect
STM00000110,US123456789012345678,2026-02-09,2026-02-11,AUD,250545.90,D,Bond redemption,BNK976498004,REF81105744,perfect
STM00000111,US123456789012345678,2026-01-13,2026-01-16,AUD,471338.19,D,Tax remittance,BNK447034692,REF12570086,perfect
STM00000112,US123456789012345678,2026-02-17,2026-02-20,USD,363068.87,D,FX contract payment,BNK808272940,REF23015182,perfect
STM00000113,GB29NWBK60161331926819,2026-01-06,2026-01-06,GBP,411529.16,D,FX contract payment,BNK202877249,REF44954891,perfect
STM00000114,US123456789012345678,2026-01-05,2026-01-05,CAD,386258.95,C,FX contract settlement,BNK221807053,REF74878511,perfect
STM00000115,GB29NWBK60161331926819,2026-02-12,2026-02-16,EUR,141726.51,D,Utility payment,BNK828649544,REF24864762,perfect
STM00000116,US123456789012345678,2026-01-30,2026-01-30,CHF,104656.78,C,ACH credit settlement,BNK801256130,REF61677740,perfect
STM00000117,US123456789012345678,2026-03-10,2026-03-10,EUR,426513.82,C,Grant proceeds,BNK671681829,REF81280787,perfect
STM00000118,DE89370400440532013000,2026-03-10,2026-03-13,USD,173074.66,C,Wire transfer inbound,BNK670773199,REF27513842,perfect
STM00000119,GB29NWBK60161331926819,2026-01-05,2026-01-07,JPY,360920.23,C,Grant proceeds,BNK321183972,REF24494667,perfect
STM00000120,DE89370400440532013000,2026-03-11,2026-03-12,CHF,200556.49,D,Commission expense,BNK373992194,REF49905534,perfect
STM00000121,FR7614508059144921279050070,2026-02-22,2026-02-23,AUD,463871.79,D,Wire transfer outbound,BNK990260080,REF22628959,perfect
STM00000122,FR7614508059144921279050070,2026-01-27,2026-01-27,CHF,131690.62,C,Invoice payment INV-4606,BNK975111974,REF35762305,perfect
STM00000123,DE89370400440532013000,2026-01-18,2026-01-19,CHF,184991.23,C,Loan drawdown,BNK941177288,REF19339888,perfect
STM00000124,AU123456789012345,2026-01-12,2026-01-12,CHF,460423.84,D,Commission expense,BNK916109647,REF11996791,perfect
STM00000125,DE89370400440532013000,2026-03-03,2026-03-06,CHF,53499.10,D,Bond redemption,BNK291011009,REF79586461,perfect
STM00000126,GB29NWBK60161331926819,2026-02-27,2026-03-02,USD,419623.99,C,Commission income,BNK269224298,REF94664680,perfect
STM00000127,GB29NWBK60161331926819,2026-02-12,2026-02-17,AUD,332870.64,C,FX contract settlement,BNK217780166,REF58210970,perfect
STM00000128,US123456789012345678,2026-01-21,2026-01-21,JPY,197095.05,C,Equity sale proceeds,BNK884901066,REF32911565,perfect
STM00000129,FR7614508059144921279050070,2026-01-07,2026-01-12,JPY,291369.43,D,Commission expense,BNK404341855,REF44494998,perfect
STM00000130,AU123456789012345,2026-03-06,2026-03-09,CHF,265304.98,C,Customer advance payment,BNK997890087,REF21285920,perfect
STM00000131,US123456789012345678,2026-02-10,2026-02-12,EUR,19805.91,C,Dividend income,BNK300922204,REF30675441,perfect
STM00000132,US123456789012345678,2026-02-12,2026-02-16,USD,216499.82,D,Interest expense,BNK405310958,REF99598739,perfect
STM00000133,US123456789012345678,2026-01-02,2026-01-05,AUD,46798.99,D,Commission expense,BNK514603641,REF85304528,perfect
STM00000134,DE89370400440532013000,2026-01-31,2026-02-03,JPY,186640.07,D,Equipment purchase,BNK362153458,REF38877236,perfect
STM00000135,FR7614508059144921279050070,2026-01-08,2026-01-09,JPY,211925.52,D,Interest expense,BNK862049329,REF84541685,perfect
STM00000136,GB29NWBK60161331926819,2026-01-15,2026-01-19,CAD,26563.96,C,Wire transfer inbound,BNK343915396,REF25364318,perfect
STM00000137,AU123456789012345,2026-01-03,2026-01-05,USD,134982.18,D,Tax remittance,BNK885861691,REF87133360,perfect
STM00000138,AU123456789012345,2026-03-25,2026-03-25,USD,422486.37,C,Customer payment received,BNK382370497,REF35539319,perfect
STM00000139,DE89370400440532013000,2026-03-28,2026-03-30,AUD,368544.27,C,Wire transfer inbound,BNK898622834,REF94604979,perfect
STM00000140,FR7614508059144921279050070,2026-02-03,2026-02-05,CAD,171013.37,C,Payroll funding,BNK569066062,REF64964144,perfect
STM00000141,FR7614508059144921279050070,2026-03-18,2026-03-18,EUR,456434.55,C,Trade settlement receipt,BNK819496967,REF79853211,perfect
STM00000142,DE89370400440532013000,2026-03-02,2026-03-02,EUR,338222.71,D,SEPA direct debit,BNK956881175,REF66642746,perfect
STM00000143,AU123456789012345,2026-01-09,2026-01-13,GBP,427714.21,D,Invoice payment to vendor,BNK968381228,REF67309212,perfect
STM00000144,DE89370400440532013000,2026-01-16,2026-01-21,AUD,282021.90,C,Wire transfer inbound,BNK480702201,REF63008853,perfect
STM00000145,US123456789012345678,2026-02-14,2026-02-18,EUR,23339.07,D,Trade settlement payment,BNK165245024,REF15802649,perfect
STM00000146,FR7614508059144921279050070,2026-03-27,2026-04-01,AUD,780.56,D,Equipment purchase,BNK827855237,REF80743589,perfect
STM00000147,US123456789012345678,2026-03-11,2026-03-13,EUR,178455.94,D,Payroll disbursement,BNK575020782,REF71720879,perfect
STM00000148,AU123456789012345,2026-01-20,2026-01-21,GBP,209573.75,D,Wire transfer outbound,BNK505909712,REF24395416,perfect
STM00000149,DE89370400440532013000,2026-02-25,2026-02-27,CHF,352769.61,C,Customer advance payment,BNK726637313,REF89221344,perfect
STM00000150,FR7614508059144921279050070,2026-03-21,2026-03-23,GBP,377756.00,C,Intercompany transfer in,BNK243425295,REF89525812,perfect
STM00000151,GB29NWBK60161331926819,2026-01-28,2026-01-28,CHF,96431.97,D,FX contract payment,BNK423171705,REF92145135,perfect
STM00000152,GB29NWBK60161331926819,2026-01-01,2026-01-01,EUR,330629.41,C,Intercompany transfer in,BNK326296326,REF93419652,perfect
STM00000153,GB29NWBK60161331926819,2026-02-21,2026-02-25,USD,419954.17,D,Commission expense,BNK136208406,REF86613825,perfect
STM00000154,GB29NWBK60161331926819,2026-03-09,2026-03-12,AUD,290573.84,C,Wire transfer inbound,BNK468636377,REF41715164,perfect
STM00000155,US123456789012345678,2026-03-18,2026-03-18,USD,494421.76,C,Grant proceeds,BNK646686262,REF54677977,perfect
STM00000156,GB29NWBK60161331926819,2026-03-24,2026-03-24,EUR,67659.15,D,Loan repayment,BNK430406989,REF21941606,perfect
STM00000157,DE89370400440532013000,2026-02-14,2026-02-17,CAD,253168.36,D,SEPA direct debit,BNK416756752,REF89521145,perfect
STM00000158,GB29NWBK60161331926819,2026-03-17,2026-03-20,CHF,43003.57,D,Trade settlement payment,BNK311888098,REF23199125,perfect
STM00000159,AU123456789012345,2026-03-09,2026-03-10,USD,479358.67,C,ACH credit settlement,BNK919616528,REF63482119,perfect
STM00000160,DE89370400440532013000,2026-03-03,2026-03-04,EUR,267652.02,D,Insurance premium payment,BNK370512946,REF44664129,perfect
STM00000161,FR7614508059144921279050070,2026-01-12,2026-01-13,AUD,313361.09,C,SEPA credit transfer,BNK923920776,REF42107532,perfect
STM00000162,FR7614508059144921279050070,2026-02-20,2026-02-20,JPY,403249.32,D,Cheque payment,BNK594988935,REF74176687,perfect
STM00000163,AU123456789012345,2026-03-29,2026-03-30,EUR,223234.37,C,Dividend income,BNK195869427,REF31059660,perfect
STM00000164,DE89370400440532013000,2026-01-29,2026-01-29,AUD,389038.26,D,Commission expense,BNK675825763,REF94207988,perfect
STM00000165,FR7614508059144921279050070,2026-02-20,2026-02-24,EUR,469739.61,D,Insurance premium payment,BNK415222589,REF39077082,perfect
STM00000166,GB29NWBK60161331926819,2026-02-05,2026-02-09,CAD,12172.20,C,Grant proceeds,BNK620486217,REF68534394,perfect
STM00000167,GB29NWBK60161331926819,2026-02-02,2026-02-04,CAD,459958.88,C,SEPA credit transfer,BNK692740271,REF51089765,perfect
STM00000168,DE89370400440532013000,2026-02-05,2026-02-09,GBP,368739.35,C,Deposit received,BNK297584874,REF90498974,perfect
STM00000169,AU123456789012345,2026-02-19,2026-02-24,CAD,83034.96,C,Bond coupon payment,BNK575575046,REF86958032,perfect
STM00000170,DE89370400440532013000,2026-02-05,2026-02-06,CAD,293310.39,C,Commission income,BNK503893887,REF82754184,perfect
STM00000171,FR7614508059144921279050070,2026-01-01,2026-01-06,CHF,112355.73,D,Loan repayment,BNK762570483,REF75126646,perfect
STM00000172,FR7614508059144921279050070,2026-03-09,2026-03-09,JPY,293943.04,D,Cheque payment,BNK111811081,REF25827310,perfect
STM00000173,AU123456789012345,2026-01-04,2026-01-04,CAD,431763.29,C,Invoice payment INV-4160,BNK835658188,REF26107202,perfect
STM00000174,US123456789012345678,2026-01-14,2026-01-16,USD,278943.66,D,Invoice payment to vendor,BNK566441006,REF54077236,perfect
STM00000175,FR7614508059144921279050070,2026-01-24,2026-01-27,USD,198900.12,D,Intercompany transfer out,BNK722987071,REF63547188,perfect
STM00000176,AU123456789012345,2026-03-25,2026-03-30,CAD,148569.93,C,Equity sale proceeds,BNK650753201,REF73828438,perfect
STM00000177,AU123456789012345,2026-02-14,2026-02-14,USD,401100.21,C,Deposit received,BNK824674427,REF17139691,perfect
STM00000178,GB29NWBK60161331926819,2026-02-07,2026-02-07,CHF,35518.61,D,Rent payment,BNK101686528,REF77338859,perfect
STM00000179,DE89370400440532013000,2026-03-15,2026-03-15,JPY,319367.03,C,Customer advance payment,BNK208739097,REF98783139,perfect
STM00000180,US123456789012345678,2026-02-24,2026-02-25,USD,476917.33,C,Invoice payment INV-8501,BNK376581095,REF35429857,perfect
STM00000181,US123456789012345678,2026-02-22,2026-02-25,GBP,473673.09,D,ACH debit settlement,BNK874155611,REF38911751,perfect
STM00000182,AU123456789012345,2026-03-20,2026-03-24,EUR,83292.51,C,Intercompany transfer in,BNK450945474,REF54613046,perfect
STM00000183,US123456789012345678,2026-02-18,2026-02-19,JPY,382262.62,C,Sales proceeds,BNK465542834,REF96408543,perfect
STM00000184,US123456789012345678,2026-03-12,2026-03-12,GBP,374088.55,D,Payroll disbursement,BNK649093733,REF86708504,perfect
STM00000185,DE89370400440532013000,2026-03-02,2026-03-03,CHF,130245.54,D,Tax remittance,BNK566558999,REF79007257,perfect
STM00000186,US123456789012345678,2026-03-29,2026-03-30,JPY,139598.33,D,Tax remittance,BNK751776513,REF20100516,perfect
STM00000187,US123456789012345678,2026-03-12,2026-03-17,CHF,298489.64,D,Cheque payment,BNK762046427,REF56963526,perfect
STM00000188,FR7614508059144921279050070,2026-03-29,2026-04-01,CHF,478934.60,D,Utility payment,BNK474309220,REF32447918,perfect
STM00000189,DE89370400440532013000,2026-01-23,2026-01-27,CAD,228164.58,D,ACH debit settlement,BNK151123076,REF87332900,perfect
STM00000190,AU123456789012345,2026-02-25,2026-02-27,CHF,121308.14,D,Equipment purchase,BNK556120099,REF17104127,perfect
STM00000191,AU123456789012345,2026-01-09,2026-01-13,AUD,287737.79,C,Loan drawdown,BNK487719723,REF25530765,perfect
STM00000192,GB29NWBK60161331926819,2026-03-25,2026-03-26,EUR,453534.18,D,Wire transfer outbound,BNK658758158,REF18269292,perfect
STM00000193,GB29NWBK60161331926819,2026-01-29,2026-01-29,EUR,148895.36,C,Loan drawdown,BNK833650344,REF28889332,perfect
STM00000194,AU123456789012345,2026-03-09,2026-03-12,CHF,46415.01,D,Supplier payment,BNK110701470,REF27332641,perfect
STM00000195,GB29NWBK60161331926819,2026-03-12,2026-03-12,USD,373401.19,C,Customer advance payment,BNK377130217,REF68763151,perfect
STM00000196,FR7614508059144921279050070,2026-01-27,2026-01-27,CHF,186606.62,C,Equity sale proceeds,BNK418328806,REF42814916,perfect
STM00000197,AU123456789012345,2026-03-19,2026-03-20,CAD,101071.27,C,Commission income,BNK106661699,REF46772993,perfect
STM00000198,FR7614508059144921279050070,2026-01-02,2026-01-07,CHF,112242.86,C,Wire transfer inbound,BNK420275136,REF43868100,perfect
STM00000199,GB29NWBK60161331926819,2026-03-25,2026-03-30,AUD,378460.31,D,SEPA direct debit,BNK539373195,REF39999779,perfect
STM00000200,DE89370400440532013000,2026-02-06,2026-02-06,USD,450845.17,D,Cheque payment,BNK196381520,REF72271557,perfect
STM00000201,DE89370400440532013000,2026-01-08,2026-01-12,USD,104447.49,C,Commission income,BNK290857424,REF23946693,perfect
STM00000202,AU123456789012345,2026-02-01,2026-02-04,AUD,427237.57,D,Insurance premium payment,BNK597098848,REF49358040,perfect
STM00000203,GB29NWBK60161331926819,2026-01-29,2026-02-03,AUD,315488.78,D,FX contract payment,BNK220336095,REF72131757,perfect
STM00000204,US123456789012345678,2026-03-04,2026-03-05,JPY,361788.99,D,Cheque payment,BNK658056328,REF87401027,perfect
STM00000205,FR7614508059144921279050070,2026-01-15,2026-01-20,EUR,145737.74,D,Intercompany transfer out,BNK292410312,REF69853006,perfect
STM00000206,FR7614508059144921279050070,2026-01-07,2026-01-08,EUR,209460.71,D,Service fee payment,BNK439390987,REF74908494,perfect
STM00000207,DE89370400440532013000,2026-01-23,2026-01-27,AUD,422674.32,C,Commission income,BNK203918843,REF57985625,perfect
STM00000208,DE89370400440532013000,2026-03-30,2026-03-30,AUD,71783.58,D,Tax remittance,BNK134190202,REF98390008,perfect
STM00000209,FR7614508059144921279050070,2026-03-01,2026-03-01,CHF,263527.86,D,Cheque payment,BNK250516904,REF53521759,perfect
